name,position,nationality,team,season
Omar Rekik,Defender,Tunisia,Arsenal,2021/22
Omari Hutchinson,Midfielder,Jamaica,Arsenal,2021/22
Jack Henry-Francis,Midfielder,Ireland,Arsenal,2021/22
Folarin Balogun,Forward,United States,Arsenal,2021/22
Tom Smith,Goalkeeper,England,Arsenal,2021/22
Albert Sambi Lokonga,Midfielder,Belgium,Arsenal,2021/22
Ben White,Defender,England,Arsenal,2021/22
Aaron Ramsdale,Goalkeeper,England,Arsenal,2021/22
Takehiro Tomiyasu,Defender,Japan,Arsenal,2021/22
Mika Biereth,Forward,Denmark,Arsenal,2021/22
Ryan Alebiosu,Defender,England,Arsenal,2021/22
Auston Trusty,Defender,United States,Arsenal,2021/22
Zach Awe,Defender,England,Arsenal,2021/22
Zak Swanson,Defender,England,Arsenal,2021/22
Mazeed Ogungbo,Defender,Ireland,Arsenal,2021/22
Marcelo Flores,Midfielder,Mexico,Arsenal,2021/22
Alex Kirk,Defender,England,Arsenal,2021/22
Rúnar Rúnarsson,Goalkeeper,Iceland,Arsenal,2021/22
Pablo Marí,Defender,Spain,Arsenal,2021/22
Konstantinos Mavropanos,Defender,Greece,Arsenal,2021/22
Bryan Mbeumo,Midfielder,Cameroon,Brentford,2021/22
Tariqe Fosu-Henry,Midfielder,Ghana,Brentford,2021/22
Shandon Baptiste,Midfielder,Grenada,Brentford,2021/22
Vitaly Janelt,Midfielder,Germany,Brentford,2021/22
Jan Zamburek,Midfielder,Czech Republic,Brentford,2021/22
Paris Maghoma,Midfielder,England,Brentford,2021/22
Mads Bidstrup,Midfielder,Denmark,Brentford,2021/22
Sergi Canós,Forward,Spain,Brentford,2021/22
Ivan Toney,Forward,England,Brentford,2021/22
Saman Ghoddos,Forward,Iran,Brentford,2021/22
Aaron Pressley,Forward,Scotland,Brentford,2021/22
Alex Gilbert,Forward,Ireland,Brentford,2021/22
Patrik Gunnarsson,Goalkeeper,Iceland,Brentford,2021/22
Ellery Balcombe,Goalkeeper,England,Brentford,2021/22
Julian Jeanvier,Defender,Guinea,Brentford,2021/22
Jaakko Oksanen,Midfielder,Finland,Brentford,2021/22
Kristoffer Ajer,Defender,Norway,Brentford,2021/22
Finley Stevens,Defender,Wales,Brentford,2021/22
Lewis Gordon,Defender,Scotland,Brentford,2021/22
Max Haygarth,Midfielder,England,Brentford,2021/22
Frank Onyeka,Midfielder,Nigeria,Brentford,2021/22
Myles Peart-Harris,Midfielder,England,Brentford,2021/22
Yoane Wissa,Midfielder,DR Congo,Brentford,2021/22
Álvaro Fernández,Goalkeeper,Spain,Brentford,2021/22
Zanka,Defender,Denmark,Brentford,2021/22
Matthew Cox,Goalkeeper,England,Brentford,2021/22
Daniel Oyegoke,Defender,England,Brentford,2021/22
Nathan Young-Coombes,Forward,England,Brentford,2021/22
Jonas Lössl,Goalkeeper,Denmark,Brentford,2021/22
Christian Eriksen,Midfielder,Denmark,Brentford,2021/22
Dominic Thompson,Defender,England,Brentford,2021/22
Charlie Goode,Defender,England,Brentford,2021/22
Luka Racic,Defender,Denmark,Brentford,2021/22
Marcus Forss,Forward,Finland,Brentford,2021/22
Joel Valencia,Forward,Ecuador,Brentford,2021/22
Halil Dervisoglu,Forward,Turkey,Brentford,2021/22
Ainsley Maitland-Niles,Midfielder,England,Arsenal,2021/22
Reiss Nelson,Forward,England,Arsenal,2021/22
Karl Hein,Goalkeeper,Estonia,Arsenal,2021/22
Salah-Eddine Oulad M'hand,Midfielder,Netherlands,Arsenal,2021/22
Charlie Patino,Midfielder,England,Arsenal,2021/22
Stephen Henderson,Goalkeeper,Ireland,Crystal Palace,2021/22
Vicente Guaita,Goalkeeper,Spain,Crystal Palace,2021/22
Joel Ward,Defender,England,Crystal Palace,2021/22
Patrick van Aanholt,Defender,Netherlands,Crystal Palace,2021/22
James Tomkins,Defender,England,Crystal Palace,2021/22
Scott Dann,Defender,England,Crystal Palace,2021/22
Mamadou Sakho,Defender,France,Crystal Palace,2021/22
Nathaniel Clyne,Defender,England,Crystal Palace,2021/22
Gary Cahill,Defender,England,Crystal Palace,2021/22
Tyrick Mitchell,Defender,England,Crystal Palace,2021/22
Martin Kelly,Defender,England,Crystal Palace,2021/22
Sam Woods,Defender,England,Crystal Palace,2021/22
Nathan Ferguson,Defender,England,Crystal Palace,2021/22
Luka Milivojevic,Midfielder,Serbia,Crystal Palace,2021/22
Cheikhou Kouyaté,Midfielder,Senegal,Crystal Palace,2021/22
Jeffrey Schlupp,Midfielder,Ghana,Crystal Palace,2021/22
James McArthur,Midfielder,Scotland,Crystal Palace,2021/22
James McCarthy,Midfielder,Ireland,Crystal Palace,2021/22
Eberechi Eze,Midfielder,England,Crystal Palace,2021/22
Jairo Riedewald,Midfielder,Netherlands,Crystal Palace,2021/22
Jordan Ayew,Forward,Ghana,Crystal Palace,2021/22
Wilfried Zaha,Forward,Cote D’Ivoire,Crystal Palace,2021/22
Jean-Philippe Mateta,Forward,France,Crystal Palace,2021/22
Christian Benteke,Forward,Belgium,Crystal Palace,2021/22
Connor Wickham,Forward,England,Crystal Palace,2021/22
Michy Batshuayi,Forward,Belgium,Crystal Palace,2021/22
Jacob Montes,Midfielder,Nicaragua,Crystal Palace,2021/22
Jaroslaw Jach,Defender,Poland,Crystal Palace,2021/22
Nya Kirby,Midfielder,England,Crystal Palace,2021/22
Michael Olise,Midfielder,France,Crystal Palace,2021/22
Marc Guéhi,Defender,England,Crystal Palace,2021/22
Joachim Andersen,Defender,Denmark,Crystal Palace,2021/22
Conor Gallagher,Midfielder,England,Crystal Palace,2021/22
Remi Matthews,Goalkeeper,England,Crystal Palace,2021/22
Reece Hannam,Defender,England,Crystal Palace,2021/22
Jesurun Rak-Sakyi,Midfielder,England,Crystal Palace,2021/22
Scott Banks,Forward,Scotland,Crystal Palace,2021/22
Will Hughes,Midfielder,England,Crystal Palace,2021/22
Odsonne Édouard,Forward,France,Crystal Palace,2021/22
Jack Wells-Morrison,Midfielder,England,Crystal Palace,2021/22
Tayo Adaramola,Defender,Ireland,Crystal Palace,2021/22
Luke Plange,Forward,England,Crystal Palace,2021/22
Malachi Boateng,Midfielder,England,Crystal Palace,2021/22
John-Kymani Gordon,Forward,England,Crystal Palace,2021/22
Rob Street,Forward,England,Crystal Palace,2021/22
Robert Sánchez,Goalkeeper,Spain,Brighton & Hove Albion,2021/22
Christian Walton,Goalkeeper,England,Brighton & Hove Albion,2021/22
Tom McGill,Goalkeeper,Canada,Brighton & Hove Albion,2021/22
Tariq Lamptey,Defender,Ghana,Brighton & Hove Albion,2021/22
Ben White,Defender,England,Brighton & Hove Albion,2021/22
Adam Webster,Defender,England,Brighton & Hove Albion,2021/22
Lewis Dunk,Defender,England,Brighton & Hove Albion,2021/22
Dan Burn,Defender,England,Brighton & Hove Albion,2021/22
Joël Veltman,Defender,Netherlands,Brighton & Hove Albion,2021/22
Romaric Yapi,Defender,France,Brighton & Hove Albion,2021/22
Yves Bissouma,Midfielder,Mali,Brighton & Hove Albion,2021/22
Alexis Mac Allister,Midfielder,Argentina,Brighton & Hove Albion,2021/22
Pascal Groß,Midfielder,Germany,Brighton & Hove Albion,2021/22
Adam Lallana,Midfielder,England,Brighton & Hove Albion,2021/22
Jakub Moder,Midfielder,Poland,Brighton & Hove Albion,2021/22
Steven Alzate,Midfielder,Colombia,Brighton & Hove Albion,2021/22
Solly March,Midfielder,England,Brighton & Hove Albion,2021/22
Davy Pröpper,Midfielder,Netherlands,Brighton & Hove Albion,2021/22
Moisés Caicedo,Midfielder,Ecuador,Brighton & Hove Albion,2021/22
Lars Dendoncker,Midfielder,Belgium,Brighton & Hove Albion,2021/22
Jensen Weir,Midfielder,England,Brighton & Hove Albion,2021/22
Peter Gwargis,Midfielder,Sweden,Brighton & Hove Albion,2021/22
Reda Khadra,Midfielder,Germany,Brighton & Hove Albion,2021/22
Teddy Jenks,Midfielder,England,Brighton & Hove Albion,2021/22
Neal Maupay,Forward,France,Brighton & Hove Albion,2021/22
Leandro Trossard,Forward,Belgium,Brighton & Hove Albion,2021/22
Alireza Jahanbakhsh,Forward,Iran,Brighton & Hove Albion,2021/22
Kiko Casilla,Goalkeeper,Spain,Leeds United,2021/22
Elia Caprile,Goalkeeper,Italy,Leeds United,2021/22
Luke Ayling,Defender,England,Leeds United,2021/22
Robin Koch,Defender,Germany,Leeds United,2021/22
Liam Cooper,Defender,Scotland,Leeds United,2021/22
Diego Llorente,Defender,Spain,Leeds United,2021/22
Pascal Struijk,Defender,Netherlands,Leeds United,2021/22
Leif Davis,Defender,England,Leeds United,2021/22
Gaetano Berardi,Defender,Switzerland,Leeds United,2021/22
Charlie Cresswell,Defender,England,Leeds United,2021/22
Oliver Casey,Defender,England,Leeds United,2021/22
Adam Forshaw,Midfielder,England,Leeds United,2021/22
Ezgjan Alioski,Midfielder,North Macedonia,Leeds United,2021/22
Stuart Dallas,Defender,Northern Ireland,Leeds United,2021/22
Pablo Hernández,Midfielder,Spain,Leeds United,2021/22
Jack Harrison,Midfielder,England,Leeds United,2021/22
Kalvin Phillips,Midfielder,England,Leeds United,2021/22
Crysencio Summerville,Midfielder,Netherlands,Leeds United,2021/22
Mateusz Klich,Midfielder,Poland,Leeds United,2021/22
Jamie Shackleton,Midfielder,England,Leeds United,2021/22
Jack Jenkins,Midfielder,England,Leeds United,2021/22
Patrick Bamford,Forward,England,Leeds United,2021/22
Tyler Roberts,Forward,Wales,Leeds United,2021/22
Raphinha,Forward,Brazil,Leeds United,2021/22
Rodrigo,Forward,Spain,Leeds United,2021/22
Joe Gelhardt,Forward,England,Leeds United,2021/22
Niall Huggins,Forward,Wales,Leeds United,2021/22
Laurens De Bock,Defender,Belgium,Leeds United,2021/22
Mateusz Bogusz,Midfielder,Poland,Leeds United,2021/22
Jordan Stevens,Midfielder,England,Leeds United,2021/22
Junior Firpo,Defender,Dominican Republic,Leeds United,2021/22
Kristoffer Klaesson,Goalkeeper,Norway,Leeds United,2021/22
Liam McCarron,Midfielder,Scotland,Leeds United,2021/22
Crysencio Summerville,Forward,Netherlands,Leeds United,2021/22
Sam Greenwood,Forward,England,Leeds United,2021/22
Daniel James,Forward,Wales,Leeds United,2021/22
Stuart McKinstry,Midfielder,Scotland,Leeds United,2021/22
Nohan Kenneh,Midfielder,Liberia,Leeds United,2021/22
Leo Hjelde,Defender,Norway,Leeds United,2021/22
Lewis Bate,Midfielder,England,Leeds United,2021/22
Kris Moore,Defender,England,Leeds United,2021/22
Cody Drameh,Defender,England,Leeds United,2021/22
Ian Poveda,Forward,Colombia,Leeds United,2021/22
Hélder Costa,Forward,Angola,Leeds United,2021/22
Alfie McCalmont,Midfielder,Northern Ireland,Leeds United,2021/22
Archie Gray,Midfielder,England,Leeds United,2021/22
Danny Welbeck,Forward,England,Brighton & Hove Albion,2021/22
José Izquierdo,Forward,Colombia,Brighton & Hove Albion,2021/22
Percy Tau,Forward,South Africa,Brighton & Hove Albion,2021/22
Andi Zeqiri,Forward,Switzerland,Brighton & Hove Albion,2021/22
Mathew Ryan,Goalkeeper,Australia,Brighton & Hove Albion,2021/22
Matt Clarke,Defender,England,Brighton & Hove Albion,2021/22
Shane Duffy,Defender,Ireland,Brighton & Hove Albion,2021/22
Bernardo,Defender,Brazil,Brighton & Hove Albion,2021/22
Alex Cochrane,Defender,England,Brighton & Hove Albion,2021/22
Haydon Roberts,Defender,England,Brighton & Hove Albion,2021/22
Jayson Molumby,Midfielder,Ireland,Brighton & Hove Albion,2021/22
Jan Mlakar,Forward,Slovenia,Brighton & Hove Albion,2021/22
Glenn Murray,Forward,England,Brighton & Hove Albion,2021/22
Viktor Gyökeres,Forward,Sweden,Brighton & Hove Albion,2021/22
Enock Mwepu,Midfielder,Zambia,Brighton & Hove Albion,2021/22
Kjell Scherpen,Goalkeeper,Netherlands,Brighton & Hove Albion,2021/22
Kaoru Mitoma,Midfielder,Japan,Brighton & Hove Albion,2021/22
Marc Leonard,Midfielder,Scotland,Brighton & Hove Albion,2021/22
Evan Ferguson,Forward,Ireland,Brighton & Hove Albion,2021/22
Odeluga Offiah,Defender,England,Brighton & Hove Albion,2021/22
Andrew Moran,Midfielder,Ireland,Brighton & Hove Albion,2021/22
Marc Cucurella,Defender,Spain,Brighton & Hove Albion,2021/22
Jürgen Locadia,Forward,Curacao,Brighton & Hove Albion,2021/22
Tudor Baluta,Defender,Romania,Brighton & Hove Albion,2021/22
Ed Turns,Defender,Wales,Brighton & Hove Albion,2021/22
Jeremy Sarmiento,Midfielder,Ecuador,Brighton & Hove Albion,2021/22
Lars Dendoncker,Defender,Belgium,Brighton & Hove Albion,2021/22
Kacper Kozlowski,Midfielder,Poland,Brighton & Hove Albion,2021/22
Billy Arce,Midfielder,Ecuador,Brighton & Hove Albion,2021/22
Jan Paul van Hecke,Defender,Netherlands,Brighton & Hove Albion,2021/22
Michal Karbownik,Defender,Poland,Brighton & Hove Albion,2021/22
Antef Tsoungui,Defender,Belgium,Brighton & Hove Albion,2021/22
Taylor Richards,Midfielder,England,Brighton & Hove Albion,2021/22
Abdallah Sima,Forward,Senegal,Brighton & Hove Albion,2021/22
Deniz Undav,Forward,Germany,Brighton & Hove Albion,2021/22
Aaron Connolly,Forward,Ireland,Brighton & Hove Albion,2021/22
Florin Andone,Forward,Romania,Brighton & Hove Albion,2021/22
Matt Smith,Midfielder,England,Arsenal,2021/22
Emiliano Martínez,Goalkeeper,Argentina,Aston Villa,2021/22
